_raw,_time,host,source,sourcetype,index,,
"{""device"": ""AP05-01.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP05-01.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 26.67}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-01.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 19.0}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-01.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 18.82}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-17.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-17.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP06-17.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP21-08.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-18.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:11.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-17.site1"", ""kpi"": ""clientCount_5GHz_band_1"", ""site"": ""RAW_site1"", ""value"": 1}",2019-01-17T06:26:10.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
